,time,height
0,0.0,2.99
1,0.0,2.99
2,0.6,2.99
3,0.68,2.99
4,1.0,2.99
5,1.0,2.99
6,1.6,2.74
7,1.68,2.74
8,3.0,2.74
9,3.0,2.74
10,3.65,3.98
11,3.73,3.98
12,4.0,3.98
13,4.0,3.98
14,4.0,3.98
15,4.78,3.98
16,5.0,3.98
17,5.0,3.98
18,5.7,3.82
19,5.78,3.82
20,5.99,3.82
21,5.99,3.82
22,6.75,4.57
23,6.83,4.57
24,7.0,4.57
25,7.0,4.57
26,7.75,3.65
27,7.83,3.65
28,8.0,3.65
29,8.0,3.65
30,8.88,3.65
31,9.0,3.65
32,9.0,3.65
33,9.0,3.65
34,9.8,4.98
35,9.88,4.98
36,10.0,4.98
37,10.0,4.98
38,12.0,4.98
39,12.0,4.98
40,12.6,5.4
41,12.68,5.4
42,12.99,5.4
43,12.99,5.4
44,13.6,4.23
45,13.68,4.23
46,13.99,4.23
47,13.99,4.23
48,14.65,5.73
49,14.73,5.73
50,15.0,5.73
51,15.0,5.73
52,15.0,5.73
53,15.65,3.98
54,15.73,3.98
55,16.99,3.98
56,16.99,3.98
57,17.78,3.9
58,17.86,3.9
59,19.0,3.9
60,19.0,3.9
61,19.91,3.9
62,22.0,3.9
63,22.0,3.9
64,22.6,4.15
65,22.68,4.15
66,23.0,4.15
67,23.6,4.32
68,23.68,4.32
69,24.0,4.32
70,24.65,2.99
71,24.73,2.99
72,25.0,2.99
73,25.0,2.99
74,25.68,4.07
75,25.76,4.07
76,26.0,4.07
77,26.0,4.07
78,26.0,4.07
79,26.73,4.32
80,26.81,4.32
81,27.0,4.32
82,27.0,4.32
83,27.73,3.49
84,27.81,3.49
85,28.0,3.49
86,28.0,3.49
87,28.78,4.32
88,28.86,4.32
89,29.0,4.32
90,29.0,4.32
91,29.78,3.49
92,29.86,3.49
93,30.0,3.49
94,30.0,3.49
95,30.83,3.98
96,30.91,3.98
97,31.0,3.98
98,31.0,3.98
99,31.0,3.98
100,31.83,4.4
101,31.91,4.4
102,32.0,4.4
103,32.0,4.4
104,33.04,4.4
105,35.0,4.4
106,35.0,4.4
107,35.6,3.49
108,35.68,3.49
109,36.0,3.49
110,36.0,3.49
111,36.65,3.57
112,36.73,3.57
113,37.0,3.57
114,37.0,3.57
115,37.0,3.57
116,37.65,4.15
117,37.73,4.15
118,38.0,4.15
119,38.0,4.15
120,38.78,4.48
121,38.86,4.48
122,39.0,4.48
123,39.0,4.48
124,39.78,4.65
125,39.86,4.65
126,40.0,4.65
127,40.0,4.65
128,40.83,4.32
129,40.91,4.32
130,41.0,4.32
131,41.0,4.32
132,41.83,5.06
133,41.91,5.06
134,43.0,5.06
135,43.0,5.06
136,43.0,5.06
137,43.47,5.06
138,45.0,5.06
139,45.0,5.06
140,45.6,4.98
141,45.68,4.98
142,47.0,4.98
143,47.0,4.98
144,47.68,4.98
145,47.76,4.98
146,49.0,4.98
147,49.0,4.98
148,49.73,4.65
149,49.81,4.65
150,50.0,4.65
151,50.0,4.65
152,50.78,4.81
153,50.86,4.81
154,51.0,4.81
155,51.0,4.81
156,51.78,4.23
157,51.86,4.23
158,51.99,4.23
159,51.99,4.23
160,52.83,3.82
161,52.91,3.82
162,52.99,3.82
163,52.99,3.82
164,52.99,3.82
165,53.83,5.56
166,53.91,5.56
167,53.99,5.56
168,53.99,5.56
169,54.96,4.48
170,55.04,4.48
171,55.99,4.48
172,55.99,4.48
173,56.6,5.15
174,56.68,5.15
175,57.0,5.15
176,57.0,5.15
177,57.6,3.98
178,57.68,3.98
179,57.99,3.98
180,57.99,3.98
181,58.65,4.9
182,58.73,4.9
183,59.0,4.9
184,59.0,4.9
185,59.0,4.9
186,59.65,4.81
187,59.73,4.81
188,60.99,4.81
189,60.99,4.81
190,61.78,4.57
191,61.86,4.57
192,61.99,4.57
193,61.99,4.57
194,62.91,4.57
195,62.99,4.57
196,62.99,4.57
197,63.83,5.31
198,63.91,5.31
199,64.99,5.31
200,64.99,5.31
201,64.99,5.31
202,65.39,5.73
203,65.47,5.73
204,65.99,5.73
205,65.99,5.73
206,66.68,5.73
207,66.99,5.73
208,66.99,5.73
209,67.6,5.4
210,67.68,5.4
211,68.99,5.4
212,68.99,5.4
213,69.68,4.32
214,69.76,4.32
215,71.0,4.32
216,71.0,4.32
217,71.73,5.31
218,71.81,5.31
219,71.99,5.31
220,71.99,5.31
221,72.78,3.74
222,72.86,3.74
223,72.99,3.74
224,72.99,3.74
225,73.78,3.74
226,73.86,3.74
227,73.99,3.74
228,73.99,3.74
229,74.83,3.74
230,74.91,3.74
231,74.99,3.74
232,74.99,3.74
233,74.99,3.74
234,75.83,5.15
235,75.91,5.15
236,75.99,5.15
237,75.99,5.15
238,76.96,5.31
239,77.04,5.31
240,78.99,5.31
241,78.99,5.31
242,79.6,3.9
243,79.68,3.9
244,80.99,3.9
245,80.99,3.9
246,80.99,3.9
247,81.65,4.4
248,81.73,4.4
249,81.99,4.4
250,81.99,4.4
251,82.78,4.73
252,82.86,4.73
253,82.99,4.73
254,82.99,4.73
255,83.78,4.98
256,83.86,4.98
257,83.99,4.98
258,83.99,4.98
259,84.83,5.64
260,84.91,5.64
261,84.99,5.64
262,84.99,5.64
263,85.83,6.31
264,85.91,6.31
265,86.99,6.31
266,86.99,6.31
267,86.99,6.31
268,87.39,3.98
269,87.47,3.98
270,87.99,3.98
271,87.99,3.98
272,88.68,3.98
273,89.0,3.98
274,89.0,3.98
275,89.6,4.98
276,89.68,4.98
277,89.99,4.98
278,89.99,4.98
279,91.0,4.98
280,91.0,4.98
281,91.68,3.65
282,91.76,3.65
283,91.99,3.65
284,91.99,3.65
285,91.99,3.65
286,92.73,4.4
287,92.81,4.4
288,92.99,4.4
289,92.99,4.4
290,93.73,4.48
291,93.81,4.48
292,94.99,4.48
293,94.99,4.48
294,95.78,4.48
295,95.86,4.48
296,95.99,4.48
297,95.99,4.48
298,96.99,4.48
299,96.99,4.48
300,96.99,4.48
301,97.83,3.98
302,97.91,3.98
303,97.99,3.98
304,97.99,3.98
305,98.96,4.65
306,99.04,4.65
307,99.99,4.65
308,99.99,4.65
309,100.6,4.65
310,100.68,4.65
311,100.99,4.65
312,100.99,4.65
313,101.6,4.4
314,101.68,4.4
315,101.99,4.4
316,102.99,4.4
317,102.99,4.4
318,102.99,4.4
319,103.65,4.81
320,103.73,4.81
321,103.99,4.81
322,103.99,4.81
323,104.78,4.57
324,104.86,4.57
325,104.99,4.57
326,104.99,4.57
327,105.78,3.57
328,105.86,3.57
329,106.99,3.57
330,106.99,3.57
331,107.83,4.4
332,107.91,4.4
333,108.99,4.4
334,108.99,4.4
335,108.99,4.4
336,109.39,4.07
337,109.47,4.07
338,109.99,4.07
339,109.99,4.07
340,110.6,5.23
341,110.68,5.23
342,110.99,5.23
343,110.99,5.23
344,111.6,4.65
345,111.68,4.65
346,111.99,4.65
347,112.99,4.65
348,112.99,4.65
349,113.68,3.98
350,113.76,3.98
351,113.99,3.98
352,113.99,3.98
353,113.99,3.98
354,114.81,3.98
355,114.99,3.98
356,114.99,3.98
357,115.73,4.65
358,115.81,4.65
359,115.99,4.65
360,115.99,4.65
361,116.99,4.65
362,116.99,4.65
363,117.78,3.4
364,117.86,3.4
365,117.99,3.4
366,117.99,3.4
367,118.91,3.4
368,118.99,3.4
369,118.99,3.4
370,118.99,3.4
371,119.83,4.07
372,119.91,4.07
373,119.99,4.07
374,119.99,4.07
375,120.96,5.15
376,121.04,5.15
377,121.99,5.15
378,121.99,5.15
379,122.6,5.23
380,122.68,5.23
381,122.99,5.23
382,122.99,5.23
383,123.6,5.23
384,123.68,5.23
385,123.99,5.23
386,123.99,5.23
387,124.65,3.82
388,124.73,3.82
389,124.99,3.82
390,124.99,3.82
391,124.99,3.82
392,125.65,4.57
393,125.73,4.57
394,126.0,4.57
395,126.0,4.57
396,126.78,4.15
397,126.86,4.15
398,126.99,4.15
399,126.99,4.15
400,127.78,3.98
401,127.86,3.98
402,128.99,3.98
403,128.99,3.98
404,129.83,4.65
405,129.91,4.65
406,130.99,4.65
407,130.99,4.65
408,130.99,4.65
409,131.47,4.65
410,131.99,4.65
411,132.68,4.65
412,132.99,4.65
413,132.99,4.65
414,133.6,5.89
415,133.68,5.89
416,133.99,5.89
417,133.99,5.89
418,134.99,5.89
419,134.99,5.89
420,135.68,4.9
421,135.76,4.9
422,135.99,4.9
423,135.99,4.9
424,136.99,4.9
425,136.99,4.9
426,137.73,5.48
427,137.81,5.48
428,138.99,5.48
429,138.99,5.48
430,139.78,4.32
431,139.86,4.32
432,139.99,4.32
433,139.99,4.32
434,140.83,3.9
435,140.91,3.9
436,140.99,3.9
437,140.99,3.9
438,140.99,3.9
439,141.83,4.23
440,141.91,4.23
441,141.99,4.23
442,141.99,4.23
443,142.96,4.15
444,143.04,4.15
445,144.99,4.15
446,144.99,4.15
447,145.6,4.81
448,145.68,4.81
449,146.99,4.81
450,146.99,4.81
451,147.99,4.81
452,147.99,4.81
453,148.78,4.48
454,148.86,4.48
455,148.99,4.48
456,148.99,4.48
457,149.78,4.48
458,149.86,4.48
459,149.99,4.48
460,149.99,4.48
461,150.99,4.48
462,150.99,4.48
463,151.83,4.73
464,151.91,4.73
465,152.99,4.73
466,152.99,4.73
467,152.99,4.73
468,153.47,4.73
469,153.99,4.73
470,153.99,4.73
471,154.99,4.73
472,154.99,4.73
473,154.99,4.73
474,154.99,4.73
475,154.99,4.73
476,154.99,4.73
477,154.99,4.73
478,154.99,4.73
479,154.99,4.73
480,154.99,4.73
481,154.99,4.73
482,154.99,4.73
483,154.99,4.73
484,154.99,4.73
485,154.99,4.73
486,154.99,4.73
487,154.99,4.73
488,154.99,4.73
489,154.99,4.73
490,154.99,4.73
491,154.99,4.73
492,154.99,4.73
493,154.99,4.73
494,154.99,4.73
495,154.99,4.73
496,154.99,4.73
497,154.99,4.73
498,154.99,4.73
499,154.99,4.73
500,154.99,4.73
501,154.99,4.73
502,154.99,4.73
503,154.99,4.73
504,154.99,4.73
505,155.6,4.4
506,155.6,0.66
507,155.6,-1.08
508,155.6,-0.41
509,155.6,-0.08
510,155.6,-0.83
511,155.6,-0.75
512,155.6,-0.17
513,155.6,-1.0
514,155.6,-0.66
515,155.6,-0.33
516,155.6,-1.08
517,155.6,-0.75
518,155.6,1.0
519,155.6,1.16
520,155.6,-0.75
521,155.6,-0.08
522,155.6,-1.41
523,155.6,-0.66
524,155.6,0.58
525,155.6,0.5
526,155.6,0.5
527,155.6,0.5
528,155.6,0.08
529,155.6,-0.91
530,155.6,-1.66
531,155.6,0.33
532,155.6,-0.17
533,155.6,1.0
534,155.6,-0.25
535,155.68,-0.25
536,155.68,-0.25
537,155.68,-0.25
538,155.68,-0.25
539,155.68,-0.25
540,155.68,-0.25
541,155.68,-0.25
542,49.73,-0.25
543,49.73,-0.25
544,49.73,-0.25
545,49.73,-0.25
546,49.73,-0.25
547,49.73,-0.25
548,49.73,-0.25
549,49.73,-0.25
550,49.73,-0.25
551,49.73,-0.25
552,49.73,-0.25
553,49.73,-0.25
554,49.73,-0.25
555,49.73,-0.25
556,49.73,-0.25
557,49.73,-0.25
558,49.73,-0.25
559,49.73,-0.25
560,49.73,-0.25
561,49.73,-0.25
562,49.73,-0.25
563,49.73,-0.25
564,49.73,-0.25
565,49.73,-0.25
566,49.73,-0.25
567,49.73,-0.25
568,49.73,-0.25
569,49.73,-0.25
570,49.73,-0.25
571,49.73,-0.25
572,49.73,-0.25
573,49.73,-0.25
574,49.73,-0.25
575,49.73,-0.25
576,49.73,-0.25
577,49.73,-0.25
578,49.73,-0.25
579,49.73,-0.25
580,49.73,-0.25
581,49.73,-0.25
582,49.73,-0.25
583,49.73,-0.25
584,49.73,-0.25
585,49.73,-0.25
586,49.73,-0.25
587,49.73,-0.25
588,49.73,-0.25
589,49.73,-0.25
590,49.73,-0.25
591,49.73,-0.25
592,49.73,-0.25
593,49.73,-0.25
594,49.73,-0.25
595,49.73,-0.25
596,49.73,-0.25
597,49.73,-0.25
598,49.73,-0.25
599,49.73,-0.25
600,49.73,-0.25
601,49.73,-0.25
602,49.73,-0.25
603,49.73,-0.25
604,49.73,-0.25
605,49.73,-0.25
606,49.73,-0.25
607,49.73,-0.25
608,49.73,-0.25
609,49.73,-0.25
610,49.73,-0.25
611,49.73,-0.25
612,49.73,-0.25
613,49.73,-0.25
614,49.73,-0.25
615,49.73,-0.25
616,49.73,-0.25
617,49.73,-0.25
618,49.73,-0.25
619,49.73,-0.25
620,49.73,-0.25
621,49.73,-0.25
622,49.73,-0.25
623,49.73,-0.25
624,49.73,-0.25
625,49.73,-0.25
626,49.73,-0.25
627,49.73,-0.25
628,49.73,-0.25
629,49.73,-0.25
630,49.73,-0.25
631,49.73,-0.25
632,49.73,-0.25
633,49.73,-0.25
634,49.73,-0.25
635,49.73,-0.25
636,49.73,-0.25
637,49.73,-0.25
638,49.73,-0.25
639,49.73,-0.25
640,49.73,-0.25
641,49.73,-0.25
642,49.73,-0.25
643,49.73,-0.25
644,49.73,-0.25
645,49.73,-0.25
646,49.73,-0.25
647,49.73,-0.25
648,49.73,-0.25
649,49.73,-0.25
650,49.73,-0.25
651,49.73,-0.25
652,49.73,-0.25
653,49.73,-0.25
654,49.73,-0.25
655,49.73,-0.25
656,49.73,-0.25
657,49.73,-0.25
658,49.73,-0.25
659,49.73,-0.25
660,49.73,-0.25
661,49.73,-0.25
662,49.73,-0.25
663,49.73,-0.25
664,49.73,-0.25
665,49.81,-0.25
